config_name,n_users,n_active,n_inactive,pct_active,pct_inactive,class_ratio
win3_thresh3_day10,20011,7030,12981,35.13,64.87,1.85
win3_thresh3_day15,20011,5829,14182,29.13,70.87,2.43
win3_thresh3_day5,20011,8307,11704,41.51,58.49,1.41
win3_thresh4_day10,20011,5781,14230,28.89,71.11,2.46
win3_thresh4_day15,20011,4847,15164,24.22,75.78,3.13
win3_thresh4_day5,20011,6735,13276,33.66,66.34,1.97
win3_thresh5_day10,20011,4760,15251,23.79,76.21,3.2
win3_thresh5_day15,20011,4036,15975,20.17,79.83,3.96
win3_thresh5_day5,20011,5471,14540,27.34,72.66,2.66
win4_thresh3_day10,20011,6957,13054,34.77,65.23,1.88
win4_thresh3_day15,20011,5767,14244,28.82,71.18,2.47
win4_thresh3_day5,20011,8212,11799,41.04,58.96,1.44
win4_thresh4_day10,20011,5727,14284,28.62,71.38,2.49
win4_thresh4_day15,20011,4804,15207,24.01,75.99,3.17
win4_thresh4_day5,20011,6671,13340,33.34,66.66,2.0
win4_thresh5_day10,20011,4719,15292,23.58,76.42,3.24
win4_thresh5_day15,20011,4003,16008,20.0,80.0,4.0
win4_thresh5_day5,20011,5421,14590,27.09,72.91,2.69
win5_thresh3_day10,20011,6881,13130,34.39,65.61,1.91
win5_thresh3_day15,20011,5704,14307,28.5,71.5,2.51
win5_thresh3_day5,20011,8118,11893,40.57,59.43,1.47
win5_thresh4_day10,20011,5675,14336,28.36,71.64,2.53
win5_thresh4_day15,20011,4766,15245,23.82,76.18,3.2
win5_thresh4_day5,20011,6606,13405,33.01,66.99,2.03
win5_thresh5_day10,20011,4661,15350,23.29,76.71,3.29
win5_thresh5_day15,20011,3958,16053,19.78,80.22,4.06
win5_thresh5_day5,20011,5352,14659,26.75,73.25,2.74
